    0.0000000000E+00    0.6528217926E-07    0.8188257390E-05    0.1000000000E+01    0.2521869756E-05    0.4117996981E-05    0.1000000000E+01   -0.4897755025E-05    0.1016781233E-04    0.1000000000E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.1000000000E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.5000000000E-03    0.2060921863E-06    0.8237575406E-05    0.1000000000E+01    0.2607830194E-05    0.4099703679E-05    0.1000000000E+01   -0.4703741413E-05    0.1034959551E-04    0.1000000000E+01    0.2599904328E-07    0.4165300142E-07    0.1351544487E-01    0.9999086622E+00    0.8582721476E-09   -0.5216865352E-09    0.2047652241E-01
    0.1000000000E-02    0.3486305023E-06    0.8284768348E-05    0.1000000000E+01    0.2694003588E-05    0.4079824910E-05    0.1000000000E+01   -0.4504474918E-05    0.1052780798E-04    0.1000000000E+01    0.5286835453E-07    0.8311675275E-07    0.2702842080E-01    0.9996346655E+00    0.3447122594E-08   -0.2079559697E-08    0.4095304482E-01
    0.1500000000E-02    0.4928706318E-06    0.8329792838E-05    0.1000000000E+01    0.2780363968E-05    0.4058347168E-05    0.1000000000E+01   -0.4300021636E-05    0.1070231268E-04    0.1000000000E+01    0.8060786359E-07    0.1243794426E-06    0.4053645929E-01    0.9991780599E+00    0.7787618759E-08   -0.4662633409E-08    0.6142956723E-01
    0.2000000000E-02    0.6387851517E-06    0.8372605712E-05    0.1000000000E+01    0.2866884965E-05    0.4035257319E-05    0.1000000000E+01   -0.4090451084E-05    0.1087297386E-04    0.1000000000E+01    0.1092173557E-06    0.1654292509E-06    0.5403709277E-01    0.9985389289E+00    0.1390084792E-07   -0.8259644676E-08    0.8190608964E-01
    0.2500000000E-02    0.7863457101E-06    0.8413164034E-05    0.1000000000E+01    0.2953539819E-05    0.4010542603E-05    0.1000000000E+01   -0.3875836163E-05    0.1103965715E-04    0.1000000000E+01    0.1386964713E-06    0.2062543514E-06    0.6752785499E-01    0.9977173892E+00    0.2180791462E-07   -0.1285905153E-07    0.1023826120E+00
    0.3000000000E-02    0.9355230252E-06    0.8451425116E-05    0.1000000000E+01    0.3040301382E-05    0.3984190647E-05    0.1000000000E+01   -0.3656253135E-05    0.1120222965E-04    0.1000000000E+01    0.1690447064E-06    0.2468429129E-06    0.8100628151E-01    0.9967135909E+00    0.3152993803E-07   -0.1844903106E-07    0.1228591345E+00
    0.3500000000E-02    0.1086286885E-05    0.8487346537E-05    0.1000000000E+01    0.3127142123E-05    0.3956189474E-05    0.1000000000E+01   -0.3431781584E-05    0.1136056003E-04    0.1000000000E+01    0.2002614120E-06    0.2871831015E-06    0.9446991017E-01    0.9955277174E+00    0.4308804920E-07   -0.2501747748E-07    0.1433356569E+00
    0.4000000000E-02    0.1238606145E-05    0.8520886159E-05    0.1000000000E+01    0.3214034129E-05    0.3926527513E-05    0.1000000000E+01   -0.3202504384E-05    0.1151451858E-04    0.1000000000E+01    0.2323457945E-06    0.3272630821E-06    0.1079162815E+00    0.9941599852E+00    0.5650338837E-07   -0.3255200026E-07    0.1638121793E+00
    0.4500000000E-02    0.1392448732E-05    0.8552002147E-05    0.1000000000E+01    0.3300949116E-05    0.3895193604E-05    0.1000000000E+01   -0.2968507662E-05    0.1166397729E-04    0.1000000000E+01    0.2652969158E-06    0.3670710209E-06    0.1213429391E+00    0.9926106443E+00    0.7179710210E-07   -0.4103992230E-07    0.1842887017E+00
