    0.0000000000E+00    0.6693357601E-05    0.9084871204E-05    0.1000000000E+01    0.4892328123E-05    0.3775286057E-05    0.1000000000E+01    0.3541127784E-05    0.5224294201E-05    0.1000000000E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.5000000000E-03    0.7025576843E-05    0.8913253361E-05    0.1000000000E+01    0.5041400356E-05    0.3634894609E-05    0.1000000000E+01    0.3601096905E-05    0.5227277698E-05    0.9996878813E+00   -0.2498279525E-01    0.2890283034E-06    0.4345221121E-06    0.4122590138E-01
    0.1000000000E-02    0.7353913933E-05    0.8729868530E-05    0.1000000000E+01    0.5186656472E-05    0.3488892336E-05    0.1000000000E+01    0.3661431876E-05    0.5229822501E-05    0.9987517199E+00   -0.4994999531E-01    0.5720583922E-06    0.8765430117E-06    0.8245180276E-01
    0.1500000000E-02    0.7677963556E-05    0.8534782341E-05    0.1000000000E+01    0.5327892949E-05    0.3337374832E-05    0.1000000000E+01    0.3722131457E-05    0.5231923318E-05    0.9971921002E+00   -0.7488601471E-01    0.8489252458E-06    0.1325999544E-05    0.1236777041E+00
    0.2000000000E-02    0.7997320428E-05    0.8328074025E-05    0.1000000000E+01    0.5464908334E-05    0.3180444851E-05    0.1000000000E+01    0.3783194360E-05    0.5233574837E-05    0.9950099959E+00   -0.9977528745E-01    0.1119464027E-05    0.1782825306E-05    0.1649036055E+00
    0.2500000000E-02    0.8311579742E-05    0.8109836494E-05    0.1000000000E+01    0.5597503481E-05    0.3018212276E-05    0.1000000000E+01    0.3844619249E-05    0.5234771726E-05    0.9922067691E+00   -0.1246022767E+00    0.1383510140E-05    0.2246950638E-05    0.2061295069E+00
    0.3000000000E-02    0.8620337620E-05    0.7880176389E-05    0.1000000000E+01    0.5725481804E-05    0.2850794079E-05    0.1000000000E+01    0.3906404741E-05    0.5235508632E-05    0.9887841696E+00   -0.1493514846E+00    0.1640899287E-05    0.2718302600E-05    0.2473554083E+00
    0.3500000000E-02    0.8923191565E-05    0.7639214124E-05    0.1000000000E+01    0.5848649518E-05    0.2678314275E-05    0.1000000000E+01    0.3968549404E-05    0.5235780183E-05    0.9847443340E+00   -0.1740074616E+00    0.1891467531E-05    0.3196804968E-05    0.2885813097E+00
    0.4000000000E-02    0.9219740921E-05    0.7387083912E-05    0.1000000000E+01    0.5966815883E-05    0.2500903870E-05    0.1000000000E+01    0.4031051756E-05    0.5235580986E-05    0.9800897840E+00   -0.1985548167E+00    0.2135051351E-05    0.3682378217E-05    0.3298072111E+00
    0.4500000000E-02    0.9509587331E-05    0.7123933779E-05    0.1000000000E+01    0.6079793453E-05    0.2318700791E-05    0.1000000000E+01    0.4093910266E-05    0.5234905628E-05    0.9748234253E+00   -0.2229782264E+00    0.2371487707E-05    0.4174939507E-05    0.3710331124E+00
    0.5000000000E-02    0.9792335206E-05    0.6849925557E-05    0.1000000000E+01    0.6187398316E-05    0.2131849824E-05    0.1000000000E+01    0.4157123354E-05    0.5233748677E-05    0.9689485453E+00   -0.2472624448E+00    0.2600614097E-05    0.4674402682E-05    0.4122590138E+00
